통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수
통합,서울특별시,종로구,아동양육비,,,202503,서울특별시,종로구,아동양육비,225,,202502,서울특별시,종로구,아동양육비,217,,202412,서울특별시,종로구,아동양육비,245,,202501,서울특별시,종로구,아동양육비,219
통합,서울특별시,종로구,추가아동양육비,,,202503,서울특별시,종로구,추가아동양육비,23,,202502,서울특별시,종로구,추가아동양육비,24,,202412,서울특별시,종로구,추가아동양육비,24,,202501,서울특별시,종로구,추가아동양육비,24
통합,서울특별시,중구,아동양육비,,,202503,서울특별시,중구,아동양육비,217,,202502,서울특별시,중구,아동양육비,222,,202412,서울특별시,중구,아동양육비,245,,202501,서울특별시,중구,아동양육비,219
통합,서울특별시,중구,추가아동양육비,,,202503,서울특별시,중구,추가아동양육비,15,,202502,서울특별시,중구,추가아동양육비,13,,202412,서울특별시,중구,추가아동양육비,17,,202501,서울특별시,중구,추가아동양육비,16
통합,서울특별시,용산구,아동양육비,,,202503,서울특별시,용산구,아동양육비,366,,202502,서울특별시,용산구,아동양육비,366,,202412,서울특별시,용산구,아동양육비,400,,202501,서울특별시,용산구,아동양육비,367
통합,서울특별시,용산구,생활보조금,,,202503,서울특별시,용산구,생활보조금,5,,202502,서울특별시,용산구,생활보조금,5,,202412,서울특별시,용산구,생활보조금,5,,202501,서울특별시,용산구,생활보조금,5
통합,서울특별시,용산구,추가아동양육비,,,202503,서울특별시,용산구,추가아동양육비,44,,202502,서울특별시,용산구,추가아동양육비,47,,202412,서울특별시,용산구,추가아동양육비,43,,202501,서울특별시,용산구,추가아동양육비,44
통합,서울특별시,성동구,아동양육비,,,202503,서울특별시,성동구,아동양육비,474,,202502,서울특별시,성동구,아동양육비,466,,202412,서울특별시,성동구,아동양육비,514,,202501,서울특별시,성동구,아동양육비,465
통합,서울특별시,성동구,생활보조금,,,202503,서울특별시,성동구,생활보조금,8,,202502,서울특별시,성동구,생활보조금,8,,202412,서울특별시,성동구,생활보조금,8,,202501,서울특별시,성동구,생활보조금,8
통합,서울특별시,성동구,추가아동양육비,,,202503,서울특별시,성동구,추가아동양육비,32,,202502,서울특별시,성동구,추가아동양육비,31,,202412,서울특별시,성동구,추가아동양육비,32,,202501,서울특별시,성동구,추가아동양육비,33
통합,서울특별시,광진구,아동양육비,,,202503,서울특별시,광진구,아동양육비,910,,202502,서울특별시,광진구,아동양육비,899,,202412,서울특별시,성동구,학용품비,31,,202501,서울특별시,광진구,아동양육비,900
통합,서울특별시,광진구,추가아동양육비,,,202503,서울특별시,광진구,추가아동양육비,66,,202502,서울특별시,광진구,추가아동양육비,69,,202412,서울특별시,광진구,아동양육비,999,,202501,서울특별시,광진구,추가아동양육비,65
통합,서울특별시,동대문구,아동양육비,,,202503,서울특별시,동대문구,아동양육비,801,,202502,서울특별시,동대문구,아동양육비,815,,202412,서울특별시,광진구,추가아동양육비,67,,202501,서울특별시,동대문구,아동양육비,811
통합,서울특별시,동대문구,추가아동양육비,,,202503,서울특별시,동대문구,추가아동양육비,74,,202502,서울특별시,동대문구,추가아동양육비,77,,202412,서울특별시,동대문구,아동양육비,910,,202501,서울특별시,동대문구,추가아동양육비,80
통합,서울특별시,중랑구,아동양육비,,,202503,서울특별시,중랑구,아동양육비,1687,,202502,서울특별시,중랑구,아동양육비,1678,,202412,서울특별시,동대문구,추가아동양육비,84,,202501,서울특별시,중랑구,아동양육비,1681
